,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,dra,up,down
78,PVR,EQ,2017-09-05,1310.25,1310.0,1310.0,1285.8,1307.0,1304.9,1299.31,132512,172173999.95,6020,25558,19.29,1295.1357142857146,1346.964744294467,1243.3066842769622
79,PVR,EQ,2017-09-06,1304.9,1304.1,1324.0,1296.75,1310.05,1308.4,1312.85,130353,171134274.05,5693,31945,24.51,1293.6500000000003,1342.3720373452993,1244.9279626547013
80,PVR,EQ,2017-09-07,1308.4,1310.0,1338.0,1303.25,1319.95,1323.65,1325.44,122640,162552380.05,6616,19182,15.64,1295.2500000000005,1346.4550778731939,1244.044922126807
81,PVR,EQ,2017-09-08,1323.65,1322.0,1374.45,1322.0,1371.0,1366.35,1361.4,335483,456725511.4,17634,52547,15.66,1298.4357142857148,1361.0265642998688,1235.8448642715607
82,PVR,EQ,2017-09-11,1366.35,1378.0,1388.8,1338.3,1348.9,1344.85,1362.56,303111,413007096.9,15222,83583,27.58,1303.0214285714287,1369.2977697996018,1236.7450873432556
83,PVR,EQ,2017-09-12,1344.85,1349.7,1365.0,1341.0,1347.25,1346.85,1354.15,99652,134943864.7,7670,21016,21.09,1308.3428571428574,1375.9606956761318,1240.725018609583
84,PVR,EQ,2017-09-13,1346.85,1349.05,1362.95,1316.05,1327.0,1323.35,1342.11,96710,129795232.95,6756,23114,23.9,1313.1928571428573,1373.8502919353398,1252.5354223503748
85,PVR,EQ,2017-09-14,1323.35,1334.7,1345.6,1318.0,1318.25,1321.35,1329.26,72627,96540075.1,6133,31172,42.92,1317.3214285714287,1370.8759976401063,1263.766859502751
86,PVR,EQ,2017-09-15,1321.35,1325.0,1357.0,1310.0,1335.35,1336.35,1340.24,193013,258683787.3,13279,88227,45.71,1321.6142857142856,1370.410635334556,1272.8179360940153
87,PVR,EQ,2017-09-18,1336.35,1348.0,1355.0,1321.65,1334.25,1329.3,1335.07,81988,109460025.15,6677,40762,49.72,1326.4571428571428,1360.9000467180772,1292.0142389962084
88,PVR,EQ,2017-09-19,1329.3,1335.0,1350.0,1320.1,1339.0,1337.8,1335.4,72193,96406610.85,5606,18417,25.51,1328.4464285714282,1361.9876423535495,1294.905214789307
89,PVR,EQ,2017-09-20,1337.8,1338.15,1347.2,1300.0,1308.0,1310.0,1325.14,125823,166732657.3,12654,52772,41.94,1327.6285714285711,1362.4390409917462,1292.818101865396
90,PVR,EQ,2017-09-21,1310.0,1315.9,1324.95,1275.75,1282.45,1281.2,1289.81,339178,437476759.35,25479,188870,55.68,1324.6142857142854,1367.3973777838505,1281.8311936447203
91,PVR,EQ,2017-09-22,1281.2,1274.0,1274.0,1209.4,1224.9,1217.7,1242.22,335055,416210881.35,17688,181207,54.08,1318.0035714285711,1389.3883086928183,1246.618834164324
92,PVR,EQ,2017-09-25,1217.7,1228.7,1228.7,1166.65,1211.35,1214.9,1195.57,366125,437729220.8,14216,170706,46.63,1311.5749999999996,1401.7736845375669,1221.3763154624323
93,PVR,EQ,2017-09-26,1214.9,1210.0,1244.0,1190.25,1201.05,1211.85,1213.97,212923,258481381.55,10109,73940,34.73,1304.6785714285709,1409.5015042855898,1199.855638571552
94,PVR,EQ,2017-09-27,1211.85,1210.1,1233.05,1165.0,1168.0,1174.6,1195.05,203339,242999396.1,11926,58489,28.76,1294.0321428571422,1418.912606360586,1169.1516793536982
95,PVR,EQ,2017-09-28,1174.6,1177.9,1205.95,1142.05,1188.0,1194.65,1185.32,332099,393644793.05,18503,98063,29.53,1281.7678571428567,1409.7406102954335,1153.7951039902798
96,PVR,EQ,2017-09-29,1194.65,1202.0,1232.9,1186.0,1212.0,1204.9,1210.33,213881,258866942.9,10600,47274,22.1,1271.7714285714283,1400.3801297622024,1143.1627273806541
97,PVR,EQ,2017-10-03,1204.9,1216.0,1238.25,1210.25,1230.0,1221.05,1224.08,129232,158190665.8,6728,33456,25.89,1262.785714285714,1386.274875619949,1139.296552951479
98,PVR,EQ,2017-10-04,1221.05,1220.1,1278.0,1220.1,1273.5,1268.6,1249.81,320762,400890408.3,14237,116906,36.45,1258.8749999999998,1377.4729293501937,1140.2770706498059
99,PVR,EQ,2017-10-05,1268.6,1275.0,1324.2,1268.05,1296.0,1293.45,1298.46,404082,524683818.05,12420,188054,46.54,1256.8821428571428,1371.8396306993393,1141.9246550149462
100,PVR,EQ,2017-10-06,1293.45,1311.9,1321.95,1292.85,1310.0,1313.65,1305.54,234043,305552391.35,6068,107969,46.13,1255.2607142857144,1365.9510250184503,1144.5704035529784
101,PVR,EQ,2017-10-09,1313.65,1314.0,1396.1,1310.15,1391.6,1387.6,1359.77,437638,595085793.1,24655,169895,38.82,1259.425,1385.439912121236,1133.410087878764
102,PVR,EQ,2017-10-10,1387.6,1400.0,1415.0,1356.0,1379.0,1376.65,1382.78,282768,391005880.65,13763,56984,20.15,1262.2000000000003,1397.0508749009005,1127.3491250991
103,PVR,EQ,2017-10-11,1376.65,1382.0,1403.15,1330.5,1345.0,1335.65,1369.08,216793,296808041.8,14933,56232,25.94,1264.032142857143,1402.3334115934267,1125.7308741208594
104,PVR,EQ,2017-10-12,1335.65,1335.0,1360.0,1334.95,1357.0,1352.7,1349.35,149647,201925632.25,6319,42845,28.63,1269.139285714286,1415.2326445828337,1123.0459268457382
105,PVR,EQ,2017-10-13,1352.7,1356.0,1434.0,1344.65,1386.0,1404.1,1393.13,438244,610530593.05,20456,90039,20.55,1282.4535714285716,1441.7329460375397,1123.1741968196036
106,PVR,EQ,2017-10-16,1404.1,1389.85,1403.9,1362.0,1371.0,1372.1,1380.34,280485,387165255.95,12320,127363,45.41,1293.6821428571427,1454.6026708163847,1132.7616148979007
107,PVR,EQ,2017-10-17,1372.1,1372.0,1393.45,1348.0,1385.0,1387.6,1362.97,449521,612684768.6,18136,102567,22.82,1306.2357142857143,1467.0776119490902,1145.3938166223384
108,PVR,EQ,2017-10-18,1387.6,1378.1,1385.0,1359.95,1372.0,1369.1,1371.25,311307,426878605.5,12642,195046,62.65,1320.1285714285714,1464.776338378208,1175.4808044789347
109,PVR,EQ,2017-10-19,1369.1,1374.0,1387.0,1355.0,1356.9,1362.65,1369.6,22247,30469543.1,1729,5911,26.57,1332.1285714285714,1458.676675473486,1205.5804673836567
110,PVR,EQ,2017-10-23,1362.65,1361.05,1423.05,1361.05,1418.0,1415.75,1397.01,186223,260155376.4,12313,71257,38.26,1347.1892857142855,1457.6801567508446,1236.6984146777263
111,PVR,EQ,2017-10-24,1415.75,1420.0,1448.0,1413.8,1423.0,1420.85,1434.65,333438,478365418.5,17774,130200,39.05,1361.4607142857142,1451.486532621528,1271.4348959499002
112,PVR,EQ,2017-10-25,1420.85,1430.0,1433.8,1368.1,1389.6,1388.85,1391.69,206081,286800350.4,12941,62560,30.36,1370.0499999999997,1443.2920749191442,1296.8079250808553
113,PVR,EQ,2017-10-26,1388.85,1395.0,1430.0,1390.0,1427.5,1421.45,1413.64,232745,329017486.6,17460,133171,57.22,1379.1928571428568,1442.5317971298932,1315.8539171558205
114,PVR,EQ,2017-10-27,1421.45,1410.0,1436.05,1331.45,1420.0,1421.2,1395.27,762643,1064090228.45,32428,70983,9.31,1386.8749999999998,1441.452929464349,1332.2970705356506
115,PVR,EQ,2017-10-30,1421.2,1425.0,1430.0,1390.1,1398.95,1397.45,1404.09,192813,270726282.05,8499,36577,18.97,1387.5785714285714,1442.449927474197,1332.7072153829458
116,PVR,EQ,2017-10-31,1397.45,1393.0,1404.95,1380.25,1390.0,1387.15,1394.65,115197,160658949.1,7258,32888,28.55,1388.3285714285714,1442.8423341832229,1333.81480867392
